Gene_ID	Vegetative_Meristem_16-19Day	6-7_internode	7-8_internode	Juvenile_Leaf_Blade3	Leaf_Zone 1_Symmetrical	Leaf_Zone 2_Stomatal	Leaf_Zone 3_Growth	Mature_Leaf_8	Primary_Root_5Days	Root_Meristem_Zone_5Days	Root_Cortex_5Days	Root_Stelle_5Days	Root_Elongation_Zone_5Days	Secondary_Root_7-8_Days	Tassel	Anther_1.0mm	Anther_2.0mm	W23_Pollen	B73_Mature_Pollen	B73_Germ_Pollen	Female_Spikelet	Ear_Primordium_1mm	Ear_Primordium_2-4mm	Ear_Primordium_6-8mm	Silk_unpollinated	Endosperm_8_DAP	Endosperm_10_DAP	Endosperm_12_DAP	Endosperm Crown_27_DAP	Pericarp_Aleurone_27_DAP	Embryo_20_DAP	Embryo_38_DAP	Germ_Kernels_2_DAI
Zm00001d049346	349.9123919	61.08102062	172.9783606	0	456.6522931	245.1056327	267.296324	7.037539068	82.26129421	229.7615167	33.22093711	56.4217025	198.7387187	72.11386927	313.7274848	189.2971492	167.0002325	0	0	0	344.3560858	342.5014076	215.5961861	281.6830214	14.10720691	215.5343465	243.5873787	290.3494081	16.15456725	73.29136977	440.0833984	83.32721272	13.89555486
Zm00001d041839	99.06557012	253.7008536	171.0512064	0	116.7865831	140.7761555	132.7673482	0	118.0990299	195.140212	84.56196444	17.31310667	467.0212882	131.9452993	38.03784049	162.1690758	254.3261665	84.84295903	41.55259423	37.82328255	92.79408541	5.243346095	49.03087474	92.61888776	61.03289994	122.123093	77.68177208	656.0406892	256.9999869	168.148119	3099.936771	530.8391561	0
Zm00001d053348	0	0	0	0	7.828726927	2.125080126	8.960835606	0	0	0	0	0	0	0	0	0	0	14.34035247	0	7.480888894	0	0	0	0	0	7.03238562	0	0	0	0	0	0	0
Zm00001d042826	0	0	0	0	0	0	0	0	0	0	0	8.404161716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d021485	457.5138697	690.1378802	259.9409711	0	386.3503396	386.3253049	447.3460926	13.63922434	444.2845325	533.0722991	1000.031754	505.0214397	484.6543487	305.5045298	1082.149238	462.544212	806.3872941	853.6370474	593.7333297	1129.91322	353.0828684	739.4113605	698.1105622	607.6160325	504.3732589	1297.054504	1018.027605	718.4912977	2655.208752	731.6637914	260.4277308	65.27998447	328.1738431
Zm00001d012984	967.9020128	279.7873649	596.7881391	80.20387001	530.2474729	248.9673503	280.135135	98.37318378	168.6378805	285.3788312	14.96421276	44.76122833	346.5772717	69.03197424	362.2707514	594.3038578	450.4674668	0	0	0	479.7604763	439.8369605	276.8834683	550.5367463	150.5089681	369.5005563	179.0013044	268.9572982	130.1385945	93.19900831	348.0218325	57.83736732	81.74497198
Zm00001d050947	0	0	10.85590404	0	0	6.230759009	22.42368739	0	0	5.576153213	0	18.51583436	6.772157397	0	0	14.88434965	27.81716135	0	0	0	27.7721439	0	6.208699534	0	0	7.042342748	18.84059211	21.37002122	0	0	11.26478422	0	0
Zm00001d012991	330.9735705	103.3177497	78.98282485	0	212.8065303	407.6569416	364.7403264	2.478828683	10.52552121	275.3437265	24.71893975	132.2304031	267.8312774	67.02932236	53.22226733	583.8752249	401.8978938	0	20.78299649	0	167.6210225	357.0960697	343.6905255	324.5554075	10.50089787	139.5671266	213.8344324	182.1938766	54.20966089	55.77617339	196.9734219	16.04793	10.21767165
Zm00001d021263	346.9147709	64.95829916	55.61330858	14.6274966	63.05228976	59.85825008	56.94938786	14.65447913	0	18.82699409	0	10.47320661	31.87559748	0	27.88330054	4.354678987	0	0	0	0	0	22.8998557	38.128314	22.85921593	0	43.35389052	59.7931581	0	0	31.44600693	47.39433187	0	20.33585876
Zm00001d017317	123.7212061	6.074581242	22.05044958	0	99.25206109	145.3062244	107.7101721	0	287.6269668	730.0419561	58.03397247	100.6968354	383.1937074	140.8166716	284.5302813	181.8225016	108.9067425	0	0	0	78.34736295	246.9341271	99.21879926	259.8707335	32.62234088	178.8378017	186.60638	238.8250211	0	15.56645854	135.3161945	13.31207098	15.80826423
